cliente,monto_por_categoria
67111,CAMP_mucho
67111,INDU_mucho
67111,OPTI_mucho
67111,PESC_mucho
67111,PESP_mucho
67111,PESR_mucho
67111,TIRO_poco
67126,CAMP_mucho
67126,INDP_medio
67126,INDU_poco
67126,OPTI_mucho
67126,PESC_medio
67126,PESP_medio
67126,PESR_medio
67146,CAMP_mucho
67146,INDU_medio
67146,OPTI_medio
67152,CAMP_poco
67152,CUCH_poco
67152,INDP_mucho
67152,OPTI_poco
67152,PESP_mucho
67152,PESR_poco
67152,TIRO_poco
67171,INDP_medio
67171,PESP_mucho
67172,CAMP_medio
67172,CUCH_poco
67172,INDU_poco
67172,INST_poco
67172,OPTI_mucho
67207,CAMP_mucho
67210,PESP_mucho
67212,CAMP_medio
67212,OPTI_medio
67218,CAMP_mucho
67218,INDP_medio
67218,INDU_poco
67218,OPTI_poco
67218,PESC_medio
67218,PESP_mucho
67218,PESR_medio
67218,TIRO_poco
67228,PESC_medio
67228,PESR_medio
67235,INDU_poco
67235,OPTI_poco
67235,PESP_poco
67235,PESR_poco
67236,INST_poco
67236,OPTI_mucho
67244,CAMP_poco
67244,INDU_medio
67258,CAMP_mucho
67258,CUCH_poco
67258,INDP_mucho
67258,INDU_medio
67258,OPTI_medio
67258,PESC_poco
67258,PESP_medio
67258,PESR_poco
67258,TIRO_mucho
67261,CAMP_mucho
67261,INDP_mucho
67261,INDU_mucho
67261,OPTI_mucho
67261,PESC_mucho
67261,PESP_medio
67261,PESR_mucho
67261,TIRO_poco
67265,PESC_medio
67265,PESP_medio
67265,PESR_medio
67269,CAMP_mucho
67269,OPTI_poco
67269,PESC_poco
67269,PESP_medio
67269,TIRO_poco
67274,CAMP_poco
67274,PESC_medio
67274,PESP_medio
67274,PESR_medio
67274,TIRO_poco
67275,CAMP_mucho
67275,CUCH_medio
67275,INDP_mucho
67275,INDU_mucho
67275,INST_poco
67275,OPTI_mucho
67275,PESC_mucho
67275,PESP_mucho
67275,PESR_mucho
67278,OPTI_mucho
67285,CAMP_mucho
67286,CAMP_mucho
67286,TIRO_medio
67297,OPTI_medio
67297,PESC_medio
67297,PESP_poco
67297,PESR_medio
67313,CAMP_medio
67313,INST_poco
67313,OPTI_medio
67313,PESC_poco
67313,PESP_medio
67314,CAMP_poco
67314,CUCH_poco
67314,INDP_medio
67314,OPTI_poco
67314,PESC_medio
67314,PESP_mucho
67314,PESR_medio
67318,CAMP_mucho
67318,CUCH_poco
67318,INDP_poco
67318,INDU_poco
67318,PESC_poco
67318,PESP_poco
67318,PESR_poco
67327,INDP_mucho
67339,CAMP_poco
67339,OPTI_medio
67339,TIRO_poco
67340,CAMP_mucho
67340,INDP_poco
67340,INDU_poco
67340,TIRO_poco
67344,CAMP_mucho
67344,OPTI_mucho
67348,CAMP_poco
67348,INDU_poco
67348,PESC_poco
67348,PESP_mucho
67348,PESR_medio
67353,CAMP_mucho
67353,INDP_poco
67353,OPTI_poco
67353,PESC_poco
67353,PESP_mucho
67353,PESR_medio
67362,CAMP_poco
67362,PESP_poco
67362,PESR_medio
67372,CAMP_mucho
67372,INDU_medio
67372,OPTI_medio
67372,PESP_medio
67372,PESR_poco
67373,CAMP_mucho
67373,OPTI_medio
67373,TIRO_poco
67374,CAMP_poco
67374,OPTI_medio
67379,CAMP_mucho
67379,CUCH_medio
67379,INDP_poco
67379,INDU_mucho
67379,OPTI_poco
67379,PESC_mucho
67379,PESP_mucho
67379,PESR_mucho
67379,TIRO_poco
67383,CAMP_poco
67383,OPTI_medio
67385,CAMP_poco
67385,OPTI_medio
67398,CAMP_poco
67398,OPTI_medio
67401,CAMP_mucho
67401,INDU_medio
67401,PESC_mucho
67401,PESP_mucho
67401,PESR_mucho
67408,CAMP_medio
67408,PESC_medio
67408,PESP_poco
67408,PESR_medio
67410,CAMP_poco
67410,OPTI_medio
67416,PESC_poco
67416,PESP_mucho
67416,PESR_medio
67420,CAMP_poco
67420,OPTI_poco
67422,OPTI_mucho
67423,CAMP_medio
67458,CAMP_mucho
67458,INDP_medio
67458,INDU_mucho
67461,INDU_medio
67465,CAMP_poco
67465,INST_poco
67465,OPTI_mucho
67473,CAMP_poco
67473,INDU_poco
67473,PESP_poco
67477,CAMP_medio
67477,INDU_medio
67478,CAMP_medio
67478,INDP_poco
67478,INDU_poco
67478,PESP_poco
67485,CAMP_medio
67485,INDU_poco
67485,INST_poco
67485,OPTI_medio
67487,CAMP_mucho
67487,INDU_medio
67487,OPTI_poco
67489,CAMP_medio
67489,CUCH_poco
67489,INDU_medio
67489,PESP_mucho
67494,CAMP_medio
67494,INDU_poco
67494,PESP_poco
67501,CAMP_medio
67501,INDU_poco
67502,CAMP_medio
67502,INDU_poco
67502,PESP_poco
67503,CAMP_poco
67503,INDP_medio
67503,PESC_poco
67503,PESP_poco
67503,PESR_poco
67510,CAMP_poco
67510,PESC_medio
67510,PESP_mucho
67510,PESR_medio
67516,CAMP_medio
67516,INDP_medio
67516,OPTI_mucho
67516,PESC_mucho
67516,PESP_mucho
67516,PESR_mucho
67524,CAMP_poco
67524,INDU_poco
67524,PESP_poco
67530,INDU_poco
67543,CAMP_mucho
67543,INDU_medio
67543,INST_poco
67543,OPTI_medio
67549,CAMP_mucho
67549,TIRO_poco
67559,CAMP_mucho
67563,CAMP_poco
67563,OPTI_medio
67564,OPTI_mucho
67573,CAMP_mucho
67573,INDP_poco
67573,INDU_mucho
67573,INST_poco
67573,PESC_mucho
67573,PESP_mucho
67573,PESR_medio
