cli_id;cat_desc;sit_iva_id;cli_prv;vta;tran;CAMPNG;PESCA.1;OPTICA.1;PESCA.CA.AS;PESCA.REELS.1;INDU;INDU.Y.PESCA;TIRO.Y.DEF;CUCHILL;INSTRU;venta:freq
67503;INDUMENTARIA PESCA;A;Mendoza;VTA_BAJO;TRAN_BAJO;;;;;PESR_poco;;INDP_poco;;;;BB
67516;OPTICA;A;Córdoba;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_medio;PESC_mucho;PESR_mucho;;;;;;AA
67543;CAMPING;A;Santa Fe;VTA_BAJO;TRAN_ALTO;CAMP_poco;PESP_medio;;;;;;TIRO_poco;CUCH_poco;;BA
67564;OPTICA;A;Buenos Aires;VTA_MEDIO;TRAN_BAJO;;;OPTI_mucho;;;;;;;;MB
67573;CAMPING;A;Río Negro;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_poco;PESC_medio;PESR_poco;INDU_medio;;TIRO_poco;CUCH_medio;;AA
67587;CAMPING;A;Buenos Aires;VTA_ALTO;TRAN_ALTO;CAMP_mucho;;OPTI_poco;PESC_medio;;INDU_mucho;;TIRO_poco;CUCH_poco;;AA
67603;INDUMENTARIA PESCA;A;Santiago del Estero;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_poco;PESC_mucho;PESR_mucho;INDU_mucho;INDP_medio;TIRO_medio;;;AA
67612;CAMPING;A;Misiones;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_poco;PESC_medio;PESR_medio;;;TIRO_medio;;;AA
67626;CAMPING;A;Capital Federal;VTA_BAJO;TRAN_BAJO;CAMP_poco;;OPTI_poco;;;;;;;INST_poco;BB
67639;CAMPING;A;Santa Fe;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;;OPTI_poco;;;;;TIRO_poco;;;MA
67640;CAMPING;A;Buenos Aires;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;;;;;;INDP_medio;;;;MA
67644;PESCA CAÑAS;B;Salta;VTA_MEDIO;TRAN_ALTO;;PESP_medio;;PESC_mucho;PESR_medio;;;;;;MA
67646;CAMPING;A;Chaco;VTA_ALTO;TRAN_ALTO;CAMP_medio;;;;;INDU_mucho;;;;;AA
67648;PESCA CAÑAS;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;;PESP_poco;;PESC_poco;PESR_poco;;;;;;BB
