itemset_regla,support_2014,support_2015
"AA,CAMPING,CUCH_poco,CAMP_mucho",0.05970,0.08467
"AA,CAMPING,TIRO_poco,CAMP_mucho",0.06300,0.05721
"MB,PESC_medio,PESR_medio",0.02810,0.01602
"INDU_medio,MA,CAMPING",0.02650,0.02517
"CUCH_poco,MA,CAMPING",0.02980,0.02288
"MA,OPTI_medio,CAMPING",0.02650,0.01602
"AA,OPTI_poco,CAMPING",0.02980,0.05263
"AA,INDU_poco,CAMP_mucho",0.04970,0.03890
"AA,INST_poco,PESC_mucho,CAMP_mucho",0.02650,0.00458
