'Prod_ID','DescGen','DescAdic','Marca','Proveedor','Cat_ID','SubCat_ID','CantEnvase'
'SV4GBK','CUCHARA SOUND VIBLEX','CUCHARA SOUND VIBLEX Número: 4 Tipo: GBK  Peso: 12 grs.','KUNNAN','000012','PESP','98',6
'SV4S','CUCHARA SOUND VIBLEX','CUCHARA SOUND VIBLEX Número: 4 Tipo: S  Peso: 12 grs.','KUNNAN','000012','PESP','98',6
'SV4SBK','CUCHARA SOUND VIBLEX','CUCHARA SOUND VIBLEX Número: 4 Tipo: SBK  Peso: 12 grs.','KUNNAN','000012','PESP','98',6
'SV4SM','CUCHARA SOUND VIBLEX','CUCHARA SOUND VIBLEX Número: 4 Tipo: SM  Peso: 12 grs.','KUNNAN','000012','PESP','98',6
'SV4YBK','CUCHARA SOUND VIBLEX','CUCHARA SOUND VIBLEX Número: 4 Tipo: YBK  Peso: 12 grs.','KUNNAN','000012','PESP','98',6
'SV5GBK','CUCHARA SOUND VIBLEX','CUCHARA SOUND VIBLEX Número: 5 Tipo: GBK  Peso: 15 grs.','KUNNAN','000012','PESP','98',6
'SV5S','CUCHARA SOUND VIBLEX','CUCHARA SOUND VIBLEX Número: 5 Tipo: S  Peso: 15 grs.','KUNNAN','000012','PESP','98',6
'SV5SBK','CUCHARA SOUND VIBLEX','CUCHARA SOUND VIBLEX Número: 5 Tipo: SBK  Peso: 15 grs.','KUNNAN','000012','PESP','98',6
'SV5SM','CUCHARA SOUND VIBLEX','CUCHARA SOUND VIBLEX Número: 5 Tipo: SM  Peso: 15 grs.','KUNNAN','000012','PESP','98',6
'SWAYKBT66','CAÑA NANO SWAY','CAÑA NANO SWAY Largo: 195 cm. Tramos: 1 Tramo  Acción: 80 LBS','KUNNAN','000012','PESC','80',1
'SWB3','CUCHARA SET SPINNER W/BELL','CUCHARA SET SPINNER W/BELL Número: 3 Tipo: BEL  Peso: 25 unidades','WATERDOG','000012','PESP','98',1
'SWB4','CUCHARA SET SPINNER W/BELL','CUCHARA SET SPINNER W/BELL Número: 4 Tipo: BEL  Peso: 25 unidades','WATERDOG','000012','PESP','98',1
'SWB5','CUCHARA SET SPINNER W/BELL','CUCHARA SET SPINNER W/BELL Número: 5 Tipo: BEL  Peso: 25 unidades','WATERDOG','000012','PESP','98',1
'SWL2','CUCHARA SET SPINNER W/LEAD','CUCHARA SET SPINNER W/LEAD Número: 2 Tipo: LEAD  Peso: 25 unidades','WATERDOG','000000','PESP','98',1
