cliente,CAMPNG,PESCA.1,OPTICA.1,PESCA.CA.AS,PESCA.REELS.1,INDU,INDU.Y.PESCA,TIRO.Y.DEF,CUCHILL,INSTRU
67111,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","","TIRO_poco","",""
67126,"CAMP_mucho","PESP_medio","OPTI_mucho","PESC_medio","PESR_medio","INDU_poco","INDP_medio","","",""
67146,"CAMP_mucho","","OPTI_medio","","","INDU_medio","","","",""
67152,"CAMP_poco","PESP_mucho","OPTI_poco","","PESR_poco","","INDP_mucho","TIRO_poco","CUCH_poco",""
67171,"","PESP_mucho","","","","","INDP_medio","","",""
67172,"CAMP_medio","","OPTI_mucho","","","INDU_poco","","","CUCH_poco","INST_poco"
67207,"CAMP_mucho","","","","","","","","",""
67210,"","PESP_mucho","","","","","","","",""
67212,"CAMP_medio","","OPTI_medio","","","","","","",""
67218,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_medio","PESR_medio","INDU_poco","INDP_medio","TIRO_poco","",""
67228,"","","","PESC_medio","PESR_medio","","","","",""
67235,"","PESP_poco","OPTI_poco","","PESR_poco","INDU_poco","","","",""
67236,"","","OPTI_mucho","","","","","","","INST_poco"
67244,"CAMP_poco","","","","","INDU_medio","","","",""
67258,"CAMP_mucho","PESP_medio","OPTI_medio","PESC_poco","PESR_poco","INDU_medio","INDP_mucho","TIRO_mucho","CUCH_poco",""
67261,"CAMP_mucho","PESP_medio","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","INDP_mucho","TIRO_poco","",""
67265,"","PESP_medio","","PESC_medio","PESR_medio","","","","",""
67269,"CAMP_mucho","PESP_medio","OPTI_poco","PESC_poco","","","","TIRO_poco","",""
67274,"CAMP_poco","PESP_medio","","PESC_medio","PESR_medio","","","TIRO_poco","",""
67275,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","INDP_mucho","","CUCH_medio","INST_poco"
67278,"","","OPTI_mucho","","","","","","",""
67285,"CAMP_mucho","","","","","","","","",""
67286,"CAMP_mucho","","","","","","","TIRO_medio","",""
67297,"","PESP_poco","OPTI_medio","PESC_medio","PESR_medio","","","","",""
67313,"CAMP_medio","PESP_medio","OPTI_medio","PESC_poco","","","","","","INST_poco"
67314,"CAMP_poco","PESP_mucho","OPTI_poco","PESC_medio","PESR_medio","","INDP_medio","","CUCH_poco",""
67318,"CAMP_mucho","PESP_poco","","PESC_poco","PESR_poco","INDU_poco","INDP_poco","","CUCH_poco",""
67327,"","","","","","","INDP_mucho","","",""
67339,"CAMP_poco","","OPTI_medio","","","","","TIRO_poco","",""
