venta_id,monto_por_categoria
163,CAMP_muchisimo
164,CAMP_poco
164,PESP_medio
165,CAMP_medio
166,CAMP_mucho
166,INST_poco
167,CAMP_mucho
167,INDP_mucho
167,OPTI_muchisimo
167,PESP_muchisimo
167,TIRO_poco
168,INST_poco
168,OPTI_poco
169,PESC_mucho
169,PESP_medio
169,PESR_medio
170,CAMP_mucho
170,PESC_mucho
170,PESP_muchisimo
170,PESR_medio
171,OPTI_muchisimo
172,OPTI_medio
173,OPTI_poco
174,CAMP_poco
177,OPTI_poco
178,CAMP_mucho
179,PESC_muchisimo
179,PESR_medio
180,PESC_mucho
180,PESR_medio
181,INDP_muchisimo
181,PESC_medio
181,PESP_muchisimo
181,PESR_medio
183,OPTI_medio
184,PESP_medio
185,CAMP_muchisimo
185,INDU_muchisimo
185,PESP_muchisimo
186,PESP_poco
186,PESR_medio
187,PESC_medio
187,PESP_poco
188,PESP_muchisimo
189,PESP_poco
189,PESR_mucho
190,CAMP_muchisimo
191,CAMP_mucho
192,CAMP_medio
192,INDP_medio
192,PESC_medio
192,PESR_medio
193,CAMP_medio
194,PESC_poco
194,PESP_medio
194,PESR_poco
195,PESC_poco
195,PESR_medio
196,CAMP_medio
196,CUCH_poco
196,OPTI_mucho
196,PESP_poco
196,TIRO_medio
197,PESP_mucho
198,CAMP_muchisimo
199,CAMP_muchisimo
203,CAMP_poco
204,CAMP_medio
205,PESC_muchisimo
205,PESR_mucho
206,CAMP_muchisimo
207,CAMP_muchisimo
207,INDU_poco
207,TIRO_medio
208,PESP_medio
209,CAMP_muchisimo
209,PESC_mucho
209,PESP_poco
209,PESR_mucho
210,INDP_muchisimo
211,PESR_muchisimo
212,OPTI_medio
213,PESC_poco
213,PESP_poco
213,PESR_poco
214,CAMP_poco
214,OPTI_medio
215,PESC_mucho
215,PESP_poco
215,PESR_mucho
216,CAMP_muchisimo
217,PESP_mucho
217,PESR_medio
218,PESP_poco
219,CAMP_poco
220,PESR_muchisimo
221,CAMP_poco
222,CAMP_poco
223,INST_poco
223,OPTI_poco
224,CAMP_poco
224,INST_poco
224,OPTI_medio
224,TIRO_poco
225,OPTI_muchisimo
226,CAMP_muchisimo
227,PESC_medio
227,PESP_poco
227,PESR_medio
228,CAMP_mucho
229,CAMP_medio
230,PESC_mucho
230,PESP_muchisimo
230,PESR_medio
231,CAMP_muchisimo
231,CUCH_poco
232,CAMP_poco
233,PESP_muchisimo
234,PESR_muchisimo
235,INDU_muchisimo
235,PESP_mucho
236,CAMP_poco
237,PESP_muchisimo
238,CAMP_medio
239,PESP_poco
240,OPTI_medio
241,CAMP_muchisimo
242,INDP_muchisimo
243,PESP_mucho
244,PESC_medio
244,PESP_poco
244,PESR_medio
245,CAMP_mucho
245,PESC_poco
245,PESP_poco
245,PESR_medio
246,CAMP_mucho
246,INDP_medio
246,PESC_poco
246,PESP_medio
246,PESR_poco
247,PESP_poco
248,CAMP_poco
248,PESC_poco
248,PESP_mucho
248,PESR_poco
249,CAMP_medio
250,CAMP_poco
250,INDP_poco
250,PESC_medio
250,PESP_muchisimo
251,CAMP_poco
251,PESP_mucho
251,TIRO_poco
254,PESC_medio
254,PESP_medio
254,PESR_mucho
258,PESC_mucho
258,PESR_mucho
259,CAMP_poco
259,PESC_poco
259,PESP_medio
260,CAMP_muchisimo
261,CAMP_poco
261,PESC_poco
261,PESP_medio
262,CAMP_medio
262,INDU_poco
263,PESP_medio
264,PESC_medio
264,PESR_medio
266,CAMP_muchisimo
267,CAMP_medio
267,OPTI_poco
267,PESC_mucho
267,PESR_medio
268,INDU_medio
269,CAMP_poco
269,PESP_mucho
270,CAMP_medio
271,CAMP_poco
271,PESP_mucho
272,CAMP_mucho
273,CAMP_medio
273,PESC_medio
273,PESP_poco
273,PESR_poco
273,TIRO_poco
274,CAMP_poco
274,PESC_medio
274,PESP_medio
274,PESR_medio
275,CAMP_medio
275,CUCH_poco
275,INDU_medio
275,PESP_mucho
275,PESR_poco
275,TIRO_poco
276,INDP_mucho
277,CAMP_muchisimo
277,INDP_muchisimo
277,PESP_muchisimo
278,CAMP_muchisimo
278,INDU_medio
279,OPTI_muchisimo
280,INDP_medio
281,OPTI_poco
282,OPTI_muchisimo
283,INDP_medio
284,PESC_medio
284,PESP_poco
284,PESR_poco
285,CAMP_medio
285,PESC_muchisimo
285,PESP_muchisimo
285,PESR_medio
285,TIRO_mucho
286,PESP_muchisimo
287,CAMP_poco
287,CUCH_poco
287,INDU_poco
287,INST_poco
287,PESP_mucho
288,OPTI_muchisimo
289,CAMP_medio
289,INDP_medio
289,INDU_muchisimo
289,PESC_medio
289,PESP_medio
289,PESR_poco
290,INDU_muchisimo
291,CAMP_poco
291,CUCH_medio
291,PESC_medio
291,PESP_mucho
291,PESR_muchisimo
292,PESR_mucho
293,INDP_medio
293,PESP_poco
294,CAMP_poco
294,OPTI_medio
295,OPTI_poco
296,PESC_mucho
296,PESP_poco
296,PESR_muchisimo
300,CAMP_mucho
300,OPTI_medio
300,PESP_muchisimo
300,PESR_medio
301,CAMP_poco
301,OPTI_poco
