cliente,CAMPNG,PESCA.1,OPTICA.1,PESCA.CA.AS,PESCA.REELS.1,INDU,INDU.Y.PESCA,TIRO.Y.DEF,CUCHILL,INSTRU
67864,"CAMP_poco","PESP_poco","OPTI_medio","","","","","","",""
67884,"","PESP_medio","","PESC_mucho","PESR_mucho","INDU_medio","","","",""
67900,"CAMP_poco","PESP_mucho","","","","INDU_poco","","TIRO_poco","",""
67928,"CAMP_mucho","","","","","INDU_medio","","","CUCH_poco",""
67934,"","","","","","INDU_mucho","","","",""
67944,"CAMP_mucho","PESP_medio","OPTI_poco","PESC_medio","PESR_medio","","","","CUCH_poco",""
67945,"CAMP_poco","PESP_medio","","PESC_mucho","PESR_mucho","","","TIRO_poco","",""
67965,"CAMP_mucho","PESP_medio","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","","TIRO_mucho","","INST_medio"
67995,"","","OPTI_medio","","","","","","",""
68001,"","","OPTI_mucho","PESC_poco","PESR_poco","","","","",""
68010,"","PESP_medio","","PESC_poco","","","","","",""
68018,"","","OPTI_medio","","","","","","",""
68054,"CAMP_poco","","OPTI_medio","","","","","","",""
68056,"","PESP_mucho","","","","","","","",""
68067,"CAMP_medio","PESP_medio","","PESC_medio","PESR_medio","INDU_poco","","TIRO_poco","CUCH_poco",""
68078,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_medio","","","INDP_mucho","TIRO_medio","",""
68131,"CAMP_medio","","","PESC_medio","PESR_medio","","","","",""
68179,"","PESP_mucho","","","","","","TIRO_poco","",""
68183,"CAMP_poco","","OPTI_medio","","","INDU_poco","INDP_poco","","",""
68209,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","INDP_mucho","TIRO_medio","CUCH_mucho",""
68235,"","PESP_medio","","PESC_poco","PESR_mucho","","","","",""
68252,"CAMP_poco","","OPTI_medio","","","","","","",""
68265,"","PESP_poco","OPTI_poco","PESC_poco","PESR_poco","","","","",""
68299,"CAMP_poco","","","","","","","","",""
68314,"","PESP_medio","","","","","","","",""
68347,"CAMP_poco","","OPTI_mucho","PESC_medio","PESR_poco","","","","",""
68353,"CAMP_poco","","","","","INDU_poco","","","",""
68361,"CAMP_medio","PESP_medio","OPTI_mucho","","","INDU_poco","INDP_mucho","","",""
68365,"CAMP_mucho","PESP_medio","OPTI_poco","","","INDU_medio","INDP_medio","TIRO_poco","CUCH_mucho",""
68374,"CAMP_mucho","","","","","","","","",""
68431,"CAMP_mucho","PESP_poco","OPTI_mucho","","","INDU_mucho","INDP_poco","TIRO_poco","CUCH_poco",""
68465,"CAMP_medio","PESP_poco","","PESC_medio","","INDU_poco","","","",""
68491,"","PESP_medio","","PESC_medio","PESR_poco","","","","",""
68494,"CAMP_poco","PESP_medio","","PESC_medio","PESR_medio","","","","",""
68500,"","","","PESC_medio","","","","","",""
68556,"CAMP_poco","","OPTI_medio","","","","","","",""
68561,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_mucho","PESR_mucho","","INDP_medio","TIRO_medio","CUCH_medio",""
68573,"","PESP_medio","","","","","","","",""
68601,"CAMP_mucho","PESP_mucho","OPTI_medio","PESC_mucho","PESR_mucho","INDU_medio","INDP_medio","","CUCH_poco",""
68602,"CAMP_medio","PESP_medio","","PESC_mucho","PESR_mucho","","","TIRO_medio","CUCH_poco",""
68619,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_medio","","INDU_medio","INDP_poco","TIRO_mucho","CUCH_poco",""
68626,"CAMP_mucho","PESP_medio","","PESC_medio","PESR_medio","","INDP_mucho","","CUCH_poco",""
68637,"","","OPTI_medio","","","","","","",""
68657,"CAMP_medio","","OPTI_mucho","","","","","","",""
68685,"","","OPTI_medio","","","","","","",""
68715,"CAMP_medio","PESP_mucho","OPTI_medio","PESC_mucho","PESR_mucho","INDU_poco","","","",""
68727,"CAMP_mucho","PESP_poco","OPTI_mucho","PESC_medio","PESR_medio","INDU_mucho","INDP_medio","TIRO_mucho","",""
68742,"CAMP_poco","PESP_medio","OPTI_poco","PESC_medio","PESR_poco","","","","CUCH_poco",""
68744,"","","OPTI_medio","","","","","","",""
68750,"","PESP_poco","OPTI_medio","","","","","","",""
68769,"CAMP_poco","","OPTI_mucho","","","","","","",""
68778,"","PESP_medio","","","PESR_poco","","","","",""
68789,"CAMP_medio","","OPTI_mucho","","","","","","",""
68828,"CAMP_medio","PESP_mucho","","PESC_mucho","PESR_medio","INDU_medio","INDP_mucho","","",""
68896,"CAMP_mucho","PESP_poco","OPTI_poco","","","INDU_medio","INDP_medio","TIRO_poco","CUCH_poco",""
68907,"CAMP_mucho","","","","","INDU_medio","INDP_medio","","",""
68943,"","","","PESC_poco","PESR_poco","","","","",""
68975,"CAMP_mucho","","","","","INDU_poco","INDP_poco","","",""
69023,"CAMP_medio","PESP_medio","","PESC_medio","PESR_medio","INDU_poco","","","",""
69032,"CAMP_mucho","PESP_medio","","","","","INDP_medio","TIRO_poco","",""
69080,"CAMP_mucho","PESP_mucho","OPTI_mucho","","PESR_medio","","","TIRO_mucho","",""
69089,"","","OPTI_mucho","","","","","","",""
69097,"CAMP_mucho","PESP_mucho","","PESC_mucho","PESR_mucho","INDU_mucho","INDP_poco","TIRO_poco","CUCH_poco",""
69100,"CAMP_medio","PESP_poco","","","","INDU_poco","","TIRO_poco","",""
69125,"","PESP_poco","","","","INDU_medio","","","",""
69135,"CAMP_mucho","PESP_poco","OPTI_mucho","","","","","","CUCH_poco","INST_poco"
69142,"","","OPTI_mucho","","","","","","",""
69145,"CAMP_poco","","OPTI_mucho","","","","","","CUCH_poco","INST_medio"
69147,"","","OPTI_medio","","","","","","",""
69148,"CAMP_poco","","OPTI_mucho","","","","","","",""
69192,"CAMP_poco","","OPTI_medio","","","","","","CUCH_poco","INST_poco"
69200,"CAMP_medio","","","","","","","","",""
69220,"","PESP_mucho","","PESC_mucho","PESR_mucho","","","","",""
69252,"CAMP_medio","PESP_poco","","PESC_poco","PESR_poco","INDU_poco","","","CUCH_poco",""
69259,"CAMP_medio","","OPTI_medio","","","","","","",""
69273,"CAMP_mucho","","","","","","","","",""
69277,"","PESP_mucho","","PESC_mucho","PESR_mucho","INDU_mucho","","","",""
69297,"","PESP_poco","","PESC_medio","PESR_poco","","INDP_poco","","",""
69310,"CAMP_medio","PESP_poco","","PESC_medio","PESR_medio","INDU_mucho","","TIRO_medio","CUCH_poco",""
69337,"CAMP_medio","PESP_mucho","OPTI_medio","PESC_mucho","PESR_medio","INDU_poco","INDP_medio","TIRO_poco","","INST_poco"
69347,"CAMP_poco","","OPTI_mucho","","","","","","","INST_poco"
69383,"CAMP_poco","PESP_poco","OPTI_mucho","","","","","","CUCH_poco","INST_poco"
69392,"CAMP_mucho","PESP_mucho","OPTI_medio","PESC_medio","","INDU_poco","","TIRO_medio","",""
69476,"CAMP_medio","","OPTI_mucho","","","","","","",""
69527,"CAMP_medio","","","","","","INDP_mucho","","",""
69555,"CAMP_mucho","PESP_mucho","OPTI_medio","PESC_mucho","PESR_mucho","","INDP_medio","TIRO_medio","CUCH_poco",""
69580,"CAMP_poco","","OPTI_mucho","","","","","","",""
69600,"CAMP_mucho","PESP_mucho","","PESC_mucho","PESR_mucho","INDU_medio","INDP_mucho","TIRO_poco","",""
69607,"CAMP_mucho","PESP_medio","","","","INDU_medio","","TIRO_poco","",""
69618,"CAMP_medio","PESP_medio","","PESC_medio","PESR_mucho","","","","",""
69664,"CAMP_mucho","PESP_poco","","","","INDU_poco","","","",""
69689,"","","OPTI_poco","","","","","","",""
69713,"CAMP_mucho","PESP_medio","OPTI_mucho","PESC_mucho","PESR_medio","INDU_mucho","INDP_medio","TIRO_medio","CUCH_poco",""
69721,"CAMP_poco","PESP_mucho","OPTI_poco","PESC_medio","","INDU_poco","INDP_medio","","",""
69732,"","PESP_mucho","","","","","","","",""
69743,"CAMP_poco","PESP_poco","","PESC_mucho","PESR_mucho","","","","",""
69750,"CAMP_mucho","PESP_medio","","PESC_medio","PESR_poco","INDU_poco","","TIRO_medio","CUCH_poco",""
69799,"CAMP_mucho","PESP_medio","OPTI_medio","","","INDU_mucho","INDP_mucho","TIRO_mucho","",""
69800,"","PESP_poco","","PESC_medio","","","INDP_mucho","","CUCH_poco",""
69824,"CAMP_mucho","","OPTI_poco","","","","","","",""
69829,"CAMP_medio","PESP_medio","","PESC_mucho","PESR_medio","","","","",""
69868,"CAMP_mucho","PESP_medio","OPTI_medio","PESC_medio","PESR_medio","INDU_medio","INDP_medio","","",""
69871,"CAMP_mucho","PESP_poco","OPTI_mucho","PESC_mucho","PESR_medio","","INDP_medio","TIRO_poco","",""
69876,"CAMP_mucho","PESP_mucho","","","","INDU_mucho","INDP_medio","TIRO_medio","",""
69882,"CAMP_mucho","PESP_medio","OPTI_medio","PESC_mucho","PESR_medio","","INDP_poco","TIRO_medio","CUCH_poco",""
69966,"CAMP_mucho","PESP_mucho","","PESC_medio","PESR_medio","","INDP_medio","","",""
69989,"CAMP_medio","PESP_poco","","PESC_poco","","","","","CUCH_poco",""
70036,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","","INDP_medio","TIRO_poco","CUCH_poco",""
70064,"CAMP_poco","","OPTI_mucho","","","","","","",""
70088,"CAMP_mucho","PESP_medio","OPTI_poco","PESC_medio","PESR_medio","INDU_mucho","","TIRO_medio","",""
70161,"CAMP_poco","PESP_medio","","PESC_medio","PESR_medio","","INDP_poco","","",""
70178,"CAMP_poco","PESP_mucho","","PESC_medio","PESR_medio","INDU_poco","","","",""
70192,"CAMP_mucho","PESP_mucho","OPTI_medio","PESC_mucho","PESR_mucho","INDU_mucho","INDP_poco","TIRO_medio","CUCH_poco",""
70278,"CAMP_poco","","OPTI_mucho","","","","","","",""
70279,"CAMP_mucho","","OPTI_medio","PESC_medio","PESR_medio","INDU_poco","INDP_mucho","TIRO_mucho","",""
70283,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_mucho","PESR_mucho","INDU_medio","INDP_mucho","","",""
70294,"CAMP_mucho","PESP_mucho","","PESC_medio","PESR_poco","","","TIRO_medio","CUCH_poco",""
70312,"CAMP_mucho","PESP_mucho","","","","","","TIRO_poco","",""
70344,"CAMP_mucho","PESP_poco","OPTI_medio","PESC_medio","PESR_poco","","","","",""
70348,"CAMP_mucho","PESP_mucho","","PESC_mucho","PESR_mucho","","","TIRO_medio","",""
70359,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_medio","INDP_mucho","TIRO_medio","CUCH_medio",""
70361,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_medio","","","CUCH_medio",""
70372,"CAMP_poco","","OPTI_mucho","","","","","","CUCH_poco",""
70379,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","","","TIRO_poco","",""
70408,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","","","TIRO_medio","",""
70427,"CAMP_poco","PESP_medio","","PESC_medio","PESR_medio","","","TIRO_poco","CUCH_poco",""
70442,"CAMP_mucho","PESP_medio","OPTI_medio","","PESR_poco","","INDP_mucho","TIRO_mucho","",""
70448,"CAMP_poco","PESP_poco","","PESC_poco","PESR_poco","INDU_poco","","","CUCH_poco",""
70471,"CAMP_mucho","PESP_medio","","","","INDU_poco","","","",""
70476,"CAMP_poco","PESP_mucho","","","PESR_poco","","","TIRO_poco","CUCH_medio",""
70483,"CAMP_mucho","","OPTI_medio","","","INDU_poco","","","",""
70494,"CAMP_mucho","PESP_mucho","","PESC_mucho","PESR_medio","INDU_medio","INDP_poco","TIRO_poco","CUCH_poco",""
